RecordNumber,Zipcode,ZipCodeType,City,State,LocationType,Latitude,Longitude,Xaxis,Yaxis,Zaxis,WorldRegion,Country,LocationText,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,AvgWages,Notes
13047,8611,STANDARD,TRENTON,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Trenton, NJ",NA-US-NJ-TRENTON,FALSE,8962,14996,228439540,15233.4,
13051,8618,STANDARD,TRENTON,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Trenton, NJ",NA-US-NJ-TRENTON,FALSE,15199,24531,506436392,20644.8,
13055,8619,STANDARD,TRENTON,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Trenton, NJ",NA-US-NJ-TRENTON,FALSE,11573,19382,565510328,29177.1,
13060,8620,STANDARD,TRENTON,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Trenton, NJ",NA-US-NJ-TRENTON,FALSE,6097,10800,312685544,28952.4,
13066,8628,STANDARD,TRENTON,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Trenton, NJ",NA-US-NJ-TRENTON,FALSE,4832,7650,243838915,31874.4,
13071,8629,STANDARD,TRENTON,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Trenton, NJ",NA-US-NJ-TRENTON,FALSE,5863,9859,187197494,18987.5,
13075,8638,STANDARD,TRENTON,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Trenton, NJ",NA-US-NJ-TRENTON,FALSE,10549,17200,364939958,21217.4,
13079,8640,STANDARD,FORT DIX,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Fort Dix, NJ",NA-US-NJ-FORT DIX,FALSE,848,1941,34946196,18004.2,
13081,8641,STANDARD,TRENTON,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Trenton, NJ",NA-US-NJ-TRENTON,FALSE,1088,2070,33873319,16363.9,
13093,8648,STANDARD,LAWRENCE TOWNSHIP,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Lawrence Township, NJ",NA-US-NJ-LAWRENCE TOWNSHIP,FALSE,14856,25629,911123561,35550.5,
13103,8690,STANDARD,TRENTON,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Trenton, NJ",NA-US-NJ-TRENTON,FALSE,10492,18316,552175611,30147.2,
13109,8691,STANDARD,TRENTON,NJ,PRIMARY,40.22,-74.76,0.2,-0.73,0.64,NA,US,"Trenton, NJ",NA-US-NJ-TRENTON,FALSE,7101,13091,573048878,43774.3,
13118,8250,PO BOX,TUCKAHOE,NJ,PRIMARY,39.28,-74.78,0.2,-0.74,0.63,NA,US,"Tuckahoe, NJ",NA-US-NJ-TUCKAHOE,FALSE,277,462,9158551,19823.7,
13119,8087,STANDARD,TUCKERTON,NJ,PRIMARY,39.59,-74.32,0.2,-0.74,0.63,NA,US,"Tuckerton, NJ",NA-US-NJ-TUCKERTON,FALSE,11930,20609,414622549,20118.5,
13129,8251,STANDARD,VILLAS,NJ,PRIMARY,39.01,-74.93,0.2,-0.75,0.62,NA,US,"Villas, NJ",NA-US-NJ-VILLAS,FALSE,4865,8038,126410285,15726.6,
13132,8088,STANDARD,VINCENTOWN,NJ,PRIMARY,39.8,-74.62,0.2,-0.74,0.64,NA,US,"Vincentown, NJ",NA-US-NJ-VINCENTOWN,FALSE,12356,22028,626327238,28433.2,
13140,8360,STANDARD,VINELAND,NJ,PRIMARY,39.46,-74.99,0.19,-0.74,0.63,NA,US,"Vineland, NJ",NA-US-NJ-VINELAND,FALSE,20454,35585,629356151,17686,
13143,8361,STANDARD,VINELAND,NJ,PRIMARY,39.46,-74.99,0.19,-0.74,0.63,NA,US,"Vineland, NJ",NA-US-NJ-VINELAND,FALSE,8402,14832,375646538,25326.8,
13144,8362,PO BOX,VINELAND,NJ,PRIMARY,39.46,-74.99,0.19,-0.74,0.63,NA,US,"Vineland, NJ",NA-US-NJ-VINELAND,FALSE,664,1050,19256973,18340,
13145,8758,STANDARD,WARETOWN,NJ,PRIMARY,39.78,-74.19,0.2,-0.73,0.63,NA,US,"Waretown, NJ",NA-US-NJ-WARETOWN,FALSE,3688,6336,128012058,20203.9,
13146,8089,STANDARD,WATERFORD WORKS,NJ,PRIMARY,39.71,-74.81,0.2,-0.74,0.63,NA,US,"Waterford Works, NJ",NA-US-NJ-WATERFORD WORKS,FALSE,2049,3545,84149497,23737.5,
13150,8090,STANDARD,WENONAH,NJ,PRIMARY,39.79,-75.14,0.19,-0.74,0.63,NA,US,"Wenonah, NJ",NA-US-NJ-WENONAH,FALSE,4115,7368,192997345,26194,
13152,8091,STANDARD,WEST BERLIN,NJ,PRIMARY,39.8,-74.93,0.19,-0.74,0.64,NA,US,"West Berlin, NJ",NA-US-NJ-WEST BERLIN,FALSE,2694,4550,102854475,22605.4,
13155,8092,STANDARD,WEST CREEK,NJ,PRIMARY,39.65,-74.28,0.2,-0.74,0.63,NA,US,"West Creek, NJ",NA-US-NJ-WEST CREEK,FALSE,1755,3158,72857244,23070.7,
13160,7764,STANDARD,WEST LONG BRANCH,NJ,PRIMARY,40.29,-74.01,0.21,-0.73,0.64,NA,US,"West Long Branch, NJ",NA-US-NJ-WEST LONG BRANCH,FALSE,3343,5838,175716375,30098.7,
13162,8093,STANDARD,WESTVILLE,NJ,PRIMARY,39.86,-75.13,0.19,-0.74,0.64,NA,US,"Westville, NJ",NA-US-NJ-WESTVILLE,FALSE,4804,7971,174080254,21839.2,
13168,8260,STANDARD,WILDWOOD,NJ,PRIMARY,38.98,-74.82,0.2,-0.75,0.62,NA,US,"Wildwood, NJ",NA-US-NJ-WILDWOOD,FALSE,7384,11807,192070543,16267.5,
13178,8094,STANDARD,WILLIAMSTOWN,NJ,PRIMARY,39.68,-74.98,0.19,-0.74,0.63,NA,US,"Williamstown, NJ",NA-US-NJ-WILLIAMSTOWN,FALSE,18552,33155,825933352,24911.3,
13181,8046,STANDARD,WILLINGBORO,NJ,PRIMARY,40.02,-74.88,0.19,-0.73,0.64,NA,US,"Willingboro, NJ",NA-US-NJ-WILLINGBORO,FALSE,16286,27170,584053428,21496.3,
13184,8270,STANDARD,WOODBINE,NJ,PRIMARY,39.22,-74.8,0.2,-0.74,0.63,NA,US,"Woodbine, NJ",NA-US-NJ-WOODBINE,FALSE,3431,6102,138499266,22697.4,
13192,8096,STANDARD,WEST DEPTFORD,NJ,PRIMARY,39.83,-75.15,0.19,-0.74,0.64,NA,US,"West Deptford, NJ",NA-US-NJ-WEST DEPTFORD,FALSE,17291,29504,766997232,25996.4,
13197,8097,STANDARD,WOODBURY HEIGHTS,NJ,PRIMARY,39.81,-75.15,0.19,-0.74,0.64,NA,US,"Woodbury Heights, NJ",NA-US-NJ-WOODBURY HEIGHTS,FALSE,1653,2916,76033829,26074.7,
13201,8098,STANDARD,WOODSTOWN,NJ,PRIMARY,39.65,-75.32,0.19,-0.74,0.63,NA,US,"Woodstown, NJ",NA-US-NJ-WOODSTOWN,FALSE,4297,7744,208318084,26900.6,
13206,8562,STANDARD,WRIGHTSTOWN,NJ,PRIMARY,40.02,-74.63,0.2,-0.73,0.64,NA,US,"Wrightstown, NJ",NA-US-NJ-WRIGHTSTOWN,FALSE,2560,4380,107847085,24622.6,
